TX_HOMICIDIO_100MIL,MUNICIPIO,REGIAO,TX_MORTALID_INFANTIL,QT_ESTABEL_SUS,TX_ESGOTO,TX_URBANIZACAO,QT_ESTABEL_SAUDE,TX_DESEMP_16MAIS,IDH,TX_ESCOLA_6A14ANOS,IDEB_EF_PUBLICO,IDEB_EM_PUBLICO,TX_ANALFAB,TX_PESSOAL_OCUP,TX_GASTOS_RJ,TX_MATRICUL_RJ,TX_DOCENTES_RJ,TX_ESCOLAS_RJ,PIB_PERCAPITA
5.18,Rio Bonito,BAIXADA LITORANEA,16.69,35,75.4,47,109,8.72,0.71,97.2,5.3,3.7,6.8,35.500965776831265,0.43967298421632767,0.36706697603810523,0.004672091792138082,0.582973163131973,27408.170802172586
16.81,Rio Claro,MEDIO PARAIBA,10.64,18,65,37.4,24,4.63,0.683,97.7,5.8,4.6,10.1,12.158022037086806,0.06674701292420575,0.11464578730700746,0.0015327415760769203,0.16082018293295808,21582.899274388605
0,Rio das Flores,MEDIO PARAIBA,19.8,13,69.1,69.2,20,5.42,0.68,98.5,5.1,4.2,7.8,29.03467465753425,0.0906289716769032,0.05612786359078778,9.110271215236313e-4,0.13066639863302842,21972.78916952055
55.63,Rio das Ostras,BAIXADA LITORANEA,9.3,19,85.4,60.7,188,8.23,0.773,98.2,6.2,4.9,3.3,19.732848775395798,0.60684669548521,0.960727071709899,0.009079493271941595,0.7839983917981707,55302.501388593555
25.82,Rio de Janeiro,METROPOLITANA,11.22,257,94.4,78.4,8695,7.1,0.799,96.9,5.7,4.7,2.7,38.03740914651632,28.030683638582733,36.963783264721904,0.329416327083359,30.616142325861894,53951.10242352524
9.81,Santa Maria Madalena,SERRANA,20.2,15,53.3,43.1,16,7.44,0.668,98.3,4.7,4.1,13.5,14.68437259430331,0.0734829500082999,0.05123209526933857,8.002265256626492e-4,0.16082018293295808,17457.76241339492
24.24,Santo Antônio de Pádua,NOROESTE,9.84,23,81.7,43.9,52,6.21,0.718,98.1,6.1,4.8,8.2,22.120486453491104,0.2547408933621063,0.26228982408771984,0.0034840631809619953,0.4020504573323952,25518.690449359066
15.92,São Fidélis,NORTE,20.57,22,75.2,47.2,46,4.87,0.691,97.1,5.2,4.3,9.3,14.59571170240248,0.41334159379668695,0.2162233426378631,0.003096261095448558,0.4020504573323952,17958.695505037456
50.92,São Francisco de Itabapoana,NORTE,11.04,27,13,2,48,9.96,0.639,98,4.6,3.5,18.4,9.054726368159203,0.7685091855034698,0.3097440823846015,0.003477907592303052,0.6332294702985224,24244.018052594172
38.98,São Gonçalo,METROPOLITANA,12.75,194,81.4,28.7,818,9.85,0.739,96.7,4.5,3.4,3.6,11.4188673645759,7.924523800478409,4.840951135991723,0.051910079160870155,5.387476128254096,16946.660202960968
31.53,São João da Barra,NORTE,17.51,12,37.3,20.5,42,7.35,0.671,97.5,5.3,4.5,10.4,26.818219257062847,0.5756164417316826,0.26217417601713444,0.0036625752520713555,0.4623580259322545,197780.0281415589
47.12,São João de Meriti,METROPOLITANA,16.96,48,94.2,46.9,251,9.13,0.719,96.6,4.6,3.5,3.4,13.172173751231748,1.889736531046779,2.7773269644655882,0.026062762381966587,2.945019599959795,19684.002664377276
13.82,São José de Ubá,NOROESTE,9.43,5,66.3,68,9,5.4,0.652,99.2,6.5,4.4,14.8,15.070774354704414,0.0661346550074699,0.039166146571593674,6.771147524837801e-4,0.1005126143330988,28428.440327504857
19.03,São José do Vale do Rio Preto,SERRANA,3.65,12,40.3,3.2,32,6.11,0.66,98.4,5.6,4.9,11.5,17.256798685891585,0.12553337293084568,0.11931025948728584,0.0011572506678813694,0.14071766006633832,24279.663807264096
46.71,São Pedro da Aldeia,BAIXADA LITORANEA,10.3,29,80.2,18,82,10.35,0.712,97.9,5.3,3.8,6.2,16.264179765957245,0.6889026563278116,0.6681760024856626,0.007485195809275241,0.7136395617650014,21587.109619138322
11.02,São Sebastião do Alto,SERRANA,0,8,48.5,41.6,10,3.66,0.646,94.6,5.6,3.8,15.8,13.060615745179504,0.08144360292586572,0.04371497068128664,6.955815184606104e-4,0.1507689214996482,21660.08820709492
5.68,Sapucaia,CENTRO SUL,20.83,15,67.1,51.9,34,5.07,0.675,97.3,5.4,4.2,8.9,26.954901638445943,0.12430865709737399,0.11796103199712268,0.00169278688120945,0.23117901296612725,40359.85385500575
45.37,Saquarema,BAIXADA LITORANEA,9.11,22,54.6,21.4,93,10.19,0.709,96.3,5.4,4,5.8,24.624929622556106,0.3343474225377645,0.5361059058771194,0.005921676289903604,0.6030756859985928,34124.38105384012
27.49,Seropédica,METROPOLITANA,14.07,23,64.1,19.7,41,10.85,0.713,97.5,4.4,3.5,5.8,17.42406007798585,0.6558353288240766,0.6223408171769766,0.007712952589656149,0.582973163131973,53702.84364319068
9.4,Silva Jardim,BAIXADA LITORANEA,6.99,19,61.3,24.3,39,11.36,0.654,98.8,4.8,4.1,12.3,18.278680995682926,0.31903847461936874,0.15215431153354353,0.0015327415760769203,0.19097396723288773,21388.05258565261
6.6,Sumidouro,SERRANA,4.39,15,29,39.5,25,1.49,0.611,93.5,5.2,5,14.7,12.344418203868003,0.16288720585173144,0.0876612375037441,9.171827101825748e-4,0.2010252286661976,28593.062871002745
39.75,Tanguá,METROPOLITANA,6.51,10,58.9,28.2,35,10.49,0.654,98.1,4.9,3.8,8.6,11.964750072233459,0.40538094087912113,0.2017673338146863,0.001895921306954584,0.2010252286661976,15902.119185206588
10.88,Teresópolis,SERRANA,12.61,48,67.2,54.7,261,6.72,0.73,96.2,6,4.8,6.5,22.522796352583587,0.6092961271521533,1.0476173220764071,0.009374961527570882,1.2363051562971152,27984.722524967434
9.66,Trajano de Moraes,SERRANA,17.54,11,31.4,39.9,11,4.76,0.667,98.4,5.9,4.1,14.3,14.539473684210527,0.12002215168022316,0.06807816421794727,0.0011264727245866523,0.22112775153281736,18402.065413533834
13.88,Três Rios,CENTRO SUL,11.73,33,82.1,36.1,286,9,0.725,97.9,5.2,4.1,5.5,29.575612962917873,0.7109475413303016,0.5546095971707856,0.006057099240400359,0.6432807317318323,48167.81482067639
10.81,Valença,MEDIO PARAIBA,9.73,48,72.3,32.1,134,8.27,0.738,97.7,5.2,4.5,5.9,16.314769282805813,0.6637959817416424,0.44566911467932524,0.006278700432122324,0.8141521760981003,33366.31878910874
9.52,Varre-Sai,NOROESTE,12.82,5,63.3,64.2,10,8.03,0.659,96.8,4.9,4.1,12.4,11.030073833963623,0.08695482417648821,0.07972006999021232,0.0010095165400667266,0.17087144436626794,16840.71573924005
30.88,Vassouras,CENTRO SUL,10.22,25,73.5,32.7,95,7.14,0.714,98.8,4.8,4.2,7.3,22.641102391931614,0.1488029737668073,0.22559083635528168,0.0028069484284782152,0.331691627299226,26351.31426799342
25.79,Volta Redonda,MEDIO PARAIBA,9.78,94,96.01,75.1,657,8.1,0.771,98.5,6,4.7,3.1,27.712892535439508,1.6331585639344652,1.6645226799358692,0.01715562559247541,1.5679967835963413,50239.02309590201
